38,36,8,45,10,5,12,0,25,74,37,7,28,15,1,4,0,7,45,23,73,122,57,47,13,2,3,5,7,5,1,1,0,0,8,10,13,30
39,14,13,47,21,1,6,9,18,74,41,7,13,14,3,2,0,2,37,28,93,121,49,59,5,1,5,5,0,10,4,3,1,0,12,20,9,61
40,38,37,61,37,7,6,14,9,70,39,11,6,22,4,3,0,9,52,38,94,133,67,29,3,4,3,6,0,7,0,11,0,0,9,9,5,32
41,26,30,47,22,4,5,7,35,106,41,19,19,14,1,1,18,14,56,33,107,160,91,51,8,4,1,1,3,5,0,5,0,0,22,18,15,21
42,19,26,56,24,0,2,1,31,77,21,9,10,9,1,7,0,16,31,27,108,163,42,48,6,3,6,8,3,0,3,2,3,0,5,8,4,63
43,29,23,32,11,10,3,10,35,68,46,14,11,9,1,8,0,4,70,22,128,194,52,31,12,0,3,3,0,2,0,0,4,1,16,15,18,30
44,18,28,55,17,2,1,4,17,93,38,14,14,9,0,1,8,4,50,39,93,141,63,50,4,2,2,5,2,4,0,2,0,0,17,16,11,33
45,27,35,29,10,7,2,5,77,114,29,14,13,5,2,1,0,8,62,53,110,159,67,34,13,3,1,14,0,2,0,1,0,0,14,26,13,27
46,32,26,44,31,0,11,9,27,72,33,20,12,18,1,1,0,3,47,24,82,158,93,64,3,1,3,9,2,16,2,3,0,0,26,13,15,44
47,36,35,51,33,11,2,4,47,115,20,24,20,14,1,0,0,8,55,42,85,138,52,41,2,5,2,5,2,12,2,2,0,0,17,11,14,27
48,37,20,42,18,6,11,3,18,66,31,21,11,11,0,3,0,1,51,34,82,124,73,59,5,2,2,6,0,10,3,7,2,0,21,23,16,16
49,36,32,49,31,6,11,5,22,79,30,14,5,4,0,1,12,5,43,37,99,115,70,52,5,0,3,4,0,9,0,6,0,1,24,5,10,30
50,25,33,28,9,0,10,4,35,77,51,20,13,3,0,1,0,12,77,47,97,127,60,42,4,1,2,4,0,8,0,2,2,0,30,4,8,40
51,40,18,29,19,16,14,9,26,70,29,19,19,12,2,8,0,7,43,29,103,121,65,43,9,1,0,1,0,6,4,2,2,0,20,10,9,35
52,33,33,43,29,10,9,4,31,71,34,17,25,26,8,6,0,8,47,25,92,122,59,46,3,1,1,16,2,3,8,4,0,0,17,8,8,44
53,27,43,47,24,4,4,5,24,58,31,20,16,3,7,1,0,10,43,21,91,110,64,47,7,3,4,4,2,2,0,1,3,0,23,16,9,28
54,13,36,48,31,4,5,9,43,66,51,14,15,9,3,2,0,6,35,31,77,104,79,53,8,1,3,3,1,1,0,0,0,0,15,7,15,26
